"company","title","career","address","deadline","link"
"에이엠㈜","생산기술 하드웨어 개발","경력1년↑","경기 과천시 과천대로7가길 20 (갈현동, 프리즘스퀘어1) 6층","~04/17(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44312530?Oem_Code=C1&logpath=1&stext=하드웨어&listno=54"
"㈜비엘디","(주)비엘디 부설연구소 하드웨어 경력직 채용","경력5년↑","서울 마포구 성암로 330 (상암동, DMC첨단산업센터) 414호","~04/19(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44273127?Oem_Code=C1&logpath=1&stext=하드웨어&listno=55"
"㈜엔에스엠","네트워크 유지보수 및 통신장비 하드웨어 정비 분야 정규직 모집(원주)","신입·경력","강원 원주시 북원로 2777 (가현동) 군부대 내 엔에스엠 사무실","~05/19(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44265243?Oem_Code=C1&logpath=1&stext=하드웨어&listno=56"
"㈜엔에스엠","네트워크 유지보수 및 통신장비 하드웨어 정비 분야 정규직 모집(과천)","신입·경력","경기 과천시 과천대로7나길 60 (갈현동, 과천어반허브) 근처 군부대 내 엔에스엠 사무실","~05/19(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44265141?Oem_Code=C1&logpath=1&stext=하드웨어&listno=57"
"㈜뉴런글로벌","컴퓨터 하드웨어 Antec 브랜드의 물류 및 배송 담당자 모십니다.","경력무관","서울 용산구 원효로 188 (원효로2가, 조양빌딩) 3층","~04/30(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44261085?Oem_Code=C1&logpath=1&stext=하드웨어&listno=58"
"현성","[경력직] 소프트웨어SW / 하드웨어HW 개발자","경력5년↑","경기 과천시 과천대로7길 33 (갈현동, 디테크타워과천) 디테크타워","~05/17(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44250172?Oem_Code=C1&logpath=1&stext=하드웨어&listno=59"
"제스프로㈜","서버 하드웨어(시스템엔지니어)정규 경력직 모집","경력4년↑","서울 구로구 구로동 222-12 마리오타워 1313호","~04/17(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44247004?Oem_Code=C1&logpath=1&stext=하드웨어&listno=60"
"㈜미래이앤아이","하드웨어(HW),펌웨어(FW) 전자회로 엔지니어 개발자를 모집 (병역특례 가능)","경력3년↑","서울 금천구 가산동 IT 미래 TOWER 401호","~04/14(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44229023?Oem_Code=C1&logpath=1&stext=하드웨어&listno=61"
"㈜인티그리트","[AI 로보틱스 플랫폼 기업] 하드웨어(H/W)팀에 함께 해주실 인재를 모집합니다.","경력2년↑","서울 강남구 삼성로 547 (삼성동, Bk-Tower) 5층","~05/12(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44209808?Oem_Code=C1&logpath=1&stext=하드웨어&listno=62"
"㈜피에스아이노딕","아날로그 CCTV 카메라 및 제품 하드웨어 설게 및 검증 업무","경력3년↑","경기 군포시 당정로 90 (당정동, 신라테크노빌) 가동 503호","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44183537?Oem_Code=C1&logpath=1&stext=하드웨어&listno=63"
"㈜우리시스템즈","서버 하드웨어 엔지니어 모집","신입","서울 구로구 디지털로29길 38 (구로동, 에이스테크노타워Ⅲ) 1008","~04/19(금)","https://www.jobkorea.co.kr/Recruit/GI_Read/44106195?Oem_Code=C1&logpath=1&stext=하드웨어&listno=64"
"㈜레이나","하드웨어 개발자 경력직 모집","신입·경력3년↑","대전 유성구 학하동로 74 (학하동) 학하동 779-6","~04/17(수)","https://www.jobkorea.co.kr/Recruit/GI_Read/44022167?Oem_Code=C1&logpath=1&stext=하드웨어&listno=65"
"㈜케이원","하드웨어(Hardware/Embedded) 엔지니어 채용","신입·경력2년↑","서울 금천구 가산디지털2로 14 (가산동, 대륭테크노타운12차)","~04/15(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/44008553?Oem_Code=C1&logpath=1&stext=하드웨어&listno=66"
"위시스㈜","[위시스] 전력/전자 하드웨어 연구개발업무 모집","신입·경력5년↑","대전 유성구 온천서로 95 (장대동) 위시스(주)","~04/15(월)","https://www.jobkorea.co.kr/Recruit/GI_Read/43999225?Oem_Code=C1&logpath=1&stext=하드웨어&listno=67"
"㈜위로","[(주)위로] 미용의료기기 하드웨어 개발자 인재채용","경력3년↑","경기 수원시 권선구 산업로156번길 142-10 (고색동, 수원벤처밸리∥) A605","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/43991356?Oem_Code=C1&logpath=1&stext=하드웨어&listno=68"
"㈜아센코리아","연구소 하드웨어 담당자 모집","경력무관","서울 금천구 가산디지털1로 2 (가산동, 우림라이온스밸리2차) 905호","~05/12(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44450528?Oem_Code=C1&logpath=1&stext=하드웨어&listno=69"
"가이아스㈜","하드웨어 개발","경력2년↑","경기 과천시 과천대로7길 33 (갈현동, 디테크타워) A동 508호","~06/11(화)","https://www.jobkorea.co.kr/Recruit/GI_Read/44449021?Oem_Code=C1&logpath=1&stext=하드웨어&listno=70"
"㈜에이엠디스플레이","Hardware 및 Firmware 개발, MCU 개발","경력무관","경기 성남시 분당구 탄천상로 164 (구미동, 시그마2오피스텔) A동 714호","상시채용","https://www.jobkorea.co.kr/Recruit/GI_Read/44448815?Oem_Code=C1&logpath=1&stext=하드웨어&listno=71"
"덕산메카시스㈜","[연구소] 회로설계, 하드웨어(H/W) 엔지니어 경력자 채용","경력4년↑","서울 금천구 가산디지털1로 219 (가산동, 벽산디지털밸리6차) 710~712호(711호로 오세요)","~05/12(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44448017?Oem_Code=C1&logpath=1&stext=하드웨어&listno=72"
"㈜경우시스테크","하드웨어 개발자 경력직 채용","경력1년↑","서울 금천구 디지털로9길 68 (가산동, 대륭포스트타워 5차) 4층 전층","~05/05(일)","https://www.jobkorea.co.kr/Recruit/GI_Read/44446648?Oem_Code=C1&logpath=1&stext=하드웨어&listno=73"
